 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR, CDx, CDy, CDz
   250,  3.088587E+00,  2.328922E+00,  1.116043E-03, -2.028667E+00,  1.321648E+00, -1.899755E+00,  5.622009E-01,  9.118615E-01,  2.420388E-01,  2.142177E-02,  3.496720E-01,  6.243614E-05, -8.401472E-02
   500,  3.304115E+00,  2.363381E+00, -9.060392E-04, -2.309027E+00,  1.502890E+00, -2.155432E+00,  5.778850E-01,  9.113995E-01,  2.442703E-01,  2.157311E-02,  3.548459E-01, -5.068765E-05, -9.562547E-02
   750,  3.304256E+00,  2.363397E+00, -9.458322E-04, -2.309212E+00,  1.503008E+00, -2.155602E+00,  5.779337E-01,  9.114007E-01,  2.442720E-01,  2.157326E-02,  3.548483E-01, -5.291384E-05, -9.563314E-02
  1000,  3.304257E+00,  2.363400E+00, -9.461110E-04, -2.309212E+00,  1.503007E+00, -2.155602E+00,  5.779365E-01,  9.114001E-01,  2.442725E-01,  2.157331E-02,  3.548487E-01, -5.292944E-05, -9.563313E-02
